zipcode,median_income,total_pop,num_male,num_female,num_white,num_black,num_native,num_asian,num_pacific,num_other,num_mixed,num_hispanic,top_5_percent
01469,97730,7812,3938,3874,7268,123,0,148,0,9,264,255,0
01473,98555,7874,3799,4075,7813,0,0,14,0,0,47,125,0
01474,94554,1685,844,841,1649,0,0,0,0,11,25,78,0
01475,81582,10831,5343,5488,9725,110,0,420,0,149,427,519,0
01501,83265,16627,7914,8713,15649,115,0,407,0,113,343,778,0
01503,104432,3312,1527,1785,3203,0,0,44,0,3,62,10,0
01504,90665,9249,4433,4816,8275,354,27,109,0,96,388,314,0
01505,106100,4666,2301,2365,4496,0,0,127,0,6,37,182,0
01506,70610,3439,1659,1780,3242,12,0,41,0,92,52,2,0
01507,102531,13610,6482,7128,12991,104,15,39,0,109,352,773,0
01510,75455,13940,6896,7044,12353,402,90,265,0,582,248,1884,0
01515,75347,2157,1082,1075,2053,40,0,0,0,30,34,86,0
01516,117250,9168,4525,4643,8807,24,0,145,0,16,176,467,0
01518,72713,3606,1681,1925,3368,1,0,185,0,35,17,57,0
01519,114226,7566,3980,3586,6177,248,0,601,0,139,401,235,0
01520,116107,16059,7644,8415,14619,509,11,255,10,79,576,622,0
01521,77054,2492,1334,1158,2442,17,3,0,0,12,18,101,0
01522,104040,3069,1507,1562,2951,45,1,39,0,0,33,286,0
01523,97394,7809,4745,3064,6938,382,12,72,13,18,374,765,0
01524,80649,6778,3340,3438,6267,234,0,53,10,35,179,178,0
01525,52750,309,139,170,264,0,0,0,0,45,0,45,0
01527,92556,13822,6359,7463,12462,201,6,299,84,17,753,426,0
01529,79647,3249,1515,1734,3126,14,0,1,0,7,101,25,0
01531,90489,1155,558,597,1134,0,0,3,0,0,18,4,0
01532,140600,15047,7091,7956,12394,675,5,1330,0,137,506,509,0
01534,100819,5885,2789,3096,5611,42,10,33,31,89,69,323,0
01535,73208,4774,2265,2509,4650,67,0,18,0,11,28,62,0
01536,102756,7030,3334,3696,5906,205,0,379,0,83,457,724,0
01537,76859,2244,1062,1182,2150,77,0,16,0,1,0,90,0
01540,85813,11679,5666,6013,10738,191,0,177,0,345,228,626,0
01541,129097,3466,1763,1703,3247,23,0,0,0,13,183,45,0
01542,88750,2544,1203,1341,2347,117,16,0,0,6,58,59,0
01543,124890,8799,4930,3869,8318,52,0,211,0,26,192,370,0
01545,108870,37683,18381,19302,26480,621,81,8546,0,398,1557,1972,0
01550,52900,16865,8028,8837,13767,706,37,65,0,1503,787,5436,0
01560,86146,4467,2309,2158,3131,148,0,823,0,42,323,277,0
01562,70265,11942,6266,5676,10963,168,0,430,0,0,381,302,0
01564,122810,8130,3968,4162,7835,93,0,33,0,39,130,366,0
01566,105294,5953,2882,3071,5572,52,0,133,0,122,74,222,0
01568,126442,7968,3912,4056,6639,588,0,219,0,35,487,177,0
01569,109179,13901,6997,6904,13224,111,0,62,0,178,326,258,0
01570,59844,16934,7803,9131,13728,731,21,221,0,1301,932,2355,0
01571,69659,11699,5632,6067,10829,249,0,304,0,79,238,382,0
01581,119148,19035,9569,9466,12511,644,113,4844,0,269,654,1324,0
01583,91696,7752,4302,3450,6969,351,15,113,0,64,240,865,0
01585,63295,4601,2224,2377,4441,9,43,0,0,52,56,99,0
01588,80434,10439,5051,5388,9262,41,35,108,0,162,831,1044,0
01590,108971,9458,4833,4625,8712,220,0,129,8,18,371,122,0
01602,71239,24363,11675,12688,18652,1852,37,1701,52,526,1543,2571,0
01603,45969,18612,9356,9256,12015,2326,54,2006,6,1071,1134,4818,0
01604,59123,37633,18883,18750,23863,5530,407,3266,7,2574,1986,8995,0
01605,42683,27587,13408,14179,16864,5142,102,1261,11,1801,2406,8345,0
01606,72050,20060,9883,10177,14755,2145,15,1702,0,435,1008,2108,0
01607,53838,8410,4055,4355,5678,1760,0,220,0,215,537,1534,0
01608,31504,4910,2231,2679,2492,1069,121,284,0,469,475,2428,0
01609,45679,21780,11646,10134,17265,1626,29,1313,0,702,845,3963,0
01610,33326,22152,10108,12044,13991,2573,184,1665,24,1842,1873,8073,0
01611,100375,2036,929,1107,1888,42,0,7,9,14,76,144,0
01612,116313,4961,2601,2360,4361,410,0,80,6,26,78,193,0
01701,116971,33742,16683,17059,27193,1370,0,2980,0,1329,870,2104,0
01702,67048,39163,19394,19769,22404,3150,207,3183,33,7659,2527,9908,0
01718,142813,709,300,409,338,0,0,130,0,0,241,63,0
01719,126597,5677,2737,2940,4233,261,0,899,0,95,189,206,0
01720,138750,22914,10764,12150,15588,888,37,5495,12,111,783,1059,0
01721,118348,17787,8722,9065,13884,904,74,2278,0,364,283,1159,0
01730,133824,14072,6877,7195,10689,358,11,2433,0,71,510,432,0
01731,105625,2119,1278,841,1326,102,0,227,0,283,181,556,0
01740,167708,5356,2669,2687,4809,13,0,215,0,104,215,215,0
01741,197530,5232,2830,2402,4619,0,0,475,0,12,126,48,0
01742,160448,18927,9509,9418,15551,755,0,1553,0,436,632,1257,0
01745,125000,600,193,407,560,0,0,40,0,0,0,31,0
01746,137589,14792,7380,7412,13578,158,0,759,0,65,232,498,0
01747,110582,5956,2789,3167,5691,28,0,32,0,21,184,100,0
01748,172683,18030,8846,9184,14767,363,24,2394,0,85,397,563,0
01749,96038,19863,9591,10272,18223,120,0,688,0,498,334,1331,0
01752,83469,39663,18973,20690,29675,1713,45,2111,97,4225,1797,5626,0
01754,107891,10900,5273,5627,9483,176,0,457,0,270,514,315,0
01756,126806,6146,3082,3064,5790,0,0,51,0,2,303,100,0
01757,86203,28936,14712,14224,23012,1045,39,779,0,3199,862,3767,0
01760,115588,35770,17503,18267,28422,800,57,5114,6,366,1005,1174,0
